objectid,filename,Title,Creator,Description,Date,Subject,Source,Publisher,Rights,Relation,Format,Language,Type,Identifier,Contributer,Coverage,Admin Notes,,,,,,,,,,
C001001,C001001.jpg ,,Troop 11,cover of scrapbook,1953-1954,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,jpeg,English,Still Image,C001001,,"Chattanooga, Tennessee",,,,,,,,,,,
C001002,C001002.jpg ,,Troop 11,title of scrapbook,1953-1955,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001002,,"Chattanooga, Tennessee",,,,,,,,,,,
C001003,C001003.jpg ,Girl Scot Troop Certificate,Troop 11,a blank girl scout troop certificate,n.d.,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001003,,"Chattanooga, Tennessee",Blurry photo,,,,,,,,,,
C001004,C001004.jpg ,,Troop 11,"depicts a hand-drawn illustration of two scouts and the phrase ""May 11, 1953, Senior Scout Troop 11 held their invesititure at the First Pilgram's Congregational Church.""",5/12/1953,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001004,,"Chattanooga, Tennessee",,,,,,,,,,,
C001005,C001005.jpg ,,Troop 11,"Depicts a newspaper clipping discussing Girl Scout meeting reported by Carolyn Woods, along with two handwritten notes congradulating Troop 11",1953 May 13; 1953 June 5,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001005,,"Chattanooga, Tennessee",,,,,,,,,,,
C001006,C001006.jpg ,,Troop 11,"Depicts a newspaper clipping discussing the election of Barbara Nolting as president of scout troop, along with a folded paper napkin",n.d.,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001006,,"Chattanooga, Tennessee",,,,,,,,,,,
C001007,C001007.jpg ,Fall Creek Falls 53',Troop 11,,5/6/1905,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001007,,"Chattanooga, Tennessee",,,,,,,,,,,
C001008,C001008.jpg ,School Activities,Troop 11,,n.d.,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001008,,"Chattanooga, Tennessee",,,,,,,,,,,
C001009,C001009.jpg ,,Troop 11,,12/3/1954,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001009,,"Chattanooga, Tennessee",,,,,,,,,,,
C001010,C001010.jpg ,,Troop 11,,4/14/1953,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001010,,"Chattanooga, Tennessee",,,,,,,,,,,
C001011,C001011.jpg ,,Troop 11,,n.d.,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001011,,"Chattanooga, Tennessee",,,,,,,,,,,
C001012,C001012.jpg ,,Troop 11,,1953 October 4; 1953 October 2,,Digitized from scrapbook located at the Girl Scout Museum at Daisy’s Place,"Girl Scout Museum at Daisy’s Place (Knoxville, TN)",Copyright held by Girl Scout Museum at Daisy’s Place. Contact museum for permissions for reuse.,Mountaineer Troop Scrapbook,image/jpeg,English,Still Image,C001012,,"Chattanooga, Tennessee",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
